link,title,start_date,end_date,location
https://www.cardiffcastle.com/events/exorcist/,Halloween Cinema: The Exorcist (Directors Cut) (18),31/10/2022,,Cardiff Castle Castle Street Cardiff CF10 3RB
https://www.cardiffcastle.com/events/addams-family/,Halloween Cinema: The Addams Family (1991) (PG),31/10/2022,,Cardiff Castle Castle Street Cardiff CF10 3RB
https://www.cardiffcastle.com/events/nightmare-before-christmas/,Halloween Cinema: The Nightmare Before Christmas (PG),31/10/2022,,Cardiff Castle Castle Street Cardiff CF10 3RB
https://www.cardiffcastle.com/events/hocus-pocus/,Halloween Cinema: Hocus Pocus (PG),31/10/2022,,Cardiff Castle Castle Street Cardiff CF10 3RB
https://www.cardiffcastle.com/events/paranorman/,Halloween Cinema: Paranorman (PG),31/10/2022,,Cardiff Castle Castle Street Cardiff CF10 3RB
https://www.cardiffcastle.com/events/ice-walk/,The Ice Rink & Ice Walk,15/11/2022,08/01/2023,"Cardiff Castle, Castle Street, Cardiff CF10 3RB"
https://www.cardiffcastle.com/events/christmas-festival-nutcracker/,Christmas Festival - The Nutcracker,25/11/2022,27/11/2022,"The Spiegeltent, Cardiff Castle Grounds, Castle Street, Cardiff, CF10 3RB"
https://www.cardiffcastle.com/events/christmas-festival-castellana/,Christmas Festival - Castellana,01/12/2022,01/01/2023,"The Spiegeltent, Cardiff Castle Grounds, Castle Street, Cardiff, CF10 3RB"
https://www.cardiffcastle.com/events/christmas-festival-santas-wish/,Christmas Festival - Santa's Wish,02/12/2022,24/12/2022,"The Spiegeltent, Cardiff Castle Grounds, Castle Street, Cardiff, CF10 3RB"
https://www.eventbrite.co.uk/e/an-evening-of-chopin-and-rachmaninoff-tickets-438884032957,An Evening of Chopin and Rachmaninoff,25/10/2022,25/10/2022,"UWC Atlantic College, Llantwit Major, CF61 1WF"
https://www.eventbrite.co.uk/e/halloween-classic-spooktacular-at-st-donats-castle-casper-1995-tickets-416548105597,Halloween Classic Spooktacular at St Donat's Castle | Casper (1995),29/10/2022,29/10/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF"
https://www.eventbrite.co.uk/e/halloween-classic-spooktacular-at-st-donats-castle-hocus-pocus-1993-tickets-416559289047,Halloween Classic Spooktacular at St Donat's Castle | Hocus Pocus (1993),29/10/2022,29/10/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF"
https://www.eventbrite.co.uk/e/halloween-classic-spooktacular-at-st-donats-castle-hocus-pocus-1993-tickets-416569910817,Halloween Classic Spooktacular at St Donat's Castle | Hocus Pocus (1993),29/10/2022,29/10/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF"
https://www.eventbrite.co.uk/e/halloween-classic-spooktacular-at-st-donats-castle-beetlejuice-1988-tickets-416578105327,Halloween Classic Spooktacular at St Donat's Castle | Beetlejuice (1988),29/10/2022,29/10/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF"
https://www.eventbrite.co.uk/e/festive-film-and-afternoon-tea-at-st-donats-castle-tickets-445168660447,Festive Film and Afternoon Tea at St Donat's Castle,10/12/2022,10/12/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF"
https://www.eventbrite.co.uk/e/festive-film-and-brunch-at-st-donats-castle-tickets-429178503457,Festive Film and Brunch at St Donat’s Castle,11/12/2022,11/12/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF"
https://www.eventbrite.co.uk/e/festive-film-and-afternoon-tea-at-st-donats-castle-tickets-423955280657,Festive Film and Afternoon Tea at St Donat's Castle,11/12/2022,11/12/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF"
https://www.eventbrite.co.uk/e/st-donats-castle-tour-and-festive-afternoon-tea-tickets-432684038607,St Donat's Castle Tour and Festive Afternoon Tea,13/12/2022,13/12/2022,"UWC Atlantic College, Llantwit Major, CF61 1WF"
https://www.eventbrite.co.uk/e/christmas-wreath-making-workshop-at-st-donats-castle-tickets-421309707677,Christmas Wreath Making Workshop at St Donat's Castle,15/12/2022,15/12/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF"
