link,title,start_date,end_date,location,info
https://www.visitthevale.com/events/llantwit-major-fireworks,Llantwit Major Fireworks | Visit The Vale,05/11/2022,05/11/2022,Llantwit Major RFC,Llantwit Major RFC presents a Firework Extravaganza
https://www.visitthevale.com/events/pumpkin-picking-patch-st-nicholas,"Pumpkin Picking Patch, St Nicholas | Visit The Vale",08/10/2022,30/10/2022,Coedarhydyglyn Park,
https://www.visitthevale.com/events/christmas-at-st-donats-castle,Christmas at St Donat's Castle | Visit The Vale,10/12/2022,11/12/2022,St Donat's,Christmas Wreath Making & Festive Film and Brunch at St Donat's Castle
https://www.eventbrite.co.uk/e/festive-film-and-afternoon-tea-at-st-donats-castle-tickets-445168660447,Festive Film and Afternoon Tea at St Donat's Castle,10/12/2022,10/12/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF","A  joyful family-friendly celebration, enjoy a delicious festive themed afternoon tea, screening of ‘Elf’ and a visit from Santa himself"
https://www.visitthevale.com/events/the-christmas-shiver,The Christmas Shiver | Visit The Vale,11/12/2022,11/12/2022,Llantwit Major Beach,Llantwit Major wild sea dip!
https://www.visitthevale.com/events/santa-fun-run,SANTA FUN RUN | Visit The Vale,11/12/2022,11/12/2022,Barry Island,The Annual Santa Fun Run is held at Barry Island each year and organised by Barry Town Council.
https://www.eventbrite.co.uk/e/festive-film-and-brunch-at-st-donats-castle-tickets-429178503457,Festive Film and Brunch at St Donat’s Castle,11/12/2022,11/12/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF",Start the day with festive cheer and join us at the magical St Donat’s Castle for family brunch in the grand hogwarts-esque Dining Hall.
https://www.eventbrite.co.uk/e/festive-film-and-afternoon-tea-at-st-donats-castle-tickets-423955280657,Festive Film and Afternoon Tea at St Donat's Castle,11/12/2022,11/12/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF","A  joyful family-friendly celebration, enjoy a delicious festive themed afternoon tea, screening of ‘Elf’ and a visit from Santa himself"
https://www.visitthevale.com/events/ChristmasMarketatGoodsheds,Christmas Market at Goodsheds | Visit The Vale,12/11/2022,13/11/2022,Barry,We are holding festive markets across two weekends in the run up to Christmas. 12th & 13th November  and  3rd & 4th December 9am - 1pm (all dates)
https://cadw.gov.wales/winter-artisan-market,Winter Artisan Market,12/11/2022,13/11/2022,Tretower Court and Castle,"Join us here at Tretower for some retail therapy at our annual winter market. With the house filled with local artists, designers and makers you can enjoy the beautiful medieval house as you browse the unique handmade artisan arts and crafts. Free admission and parking."
https://cadw.gov.wales/remembrance-sunday,Remembrance Sunday,12/11/2022,13/11/2022,Castell Coch,"Come to Castell Coch, and learn about Cardiff during the war, hear about how the castle was used during WW2. Poppy craft activity for children, and colouring-in activities available."
https://www.eventbrite.co.uk/e/st-donats-castle-tour-and-festive-afternoon-tea-tickets-432684038607,St Donat's Castle Tour and Festive Afternoon Tea,13/12/2022,13/12/2022,"UWC Atlantic College, Llantwit Major, CF61 1WF",Explore St Donat’s hidden delights on your guided tour through the Castle and enjoy a Festive Afternoon Tea
https://www.visitthevale.com/events/forage-pick-your-own-pumpkins,Forage Pick Your Own Pumpkins | Visit The Vale,15/10/2022,31/10/2022,Penllyn Estate,We welcome you to Penllyn Estate for a Forage family day out picking pumpkins. You’ll find our pumpkin patch a stone’s throw away from the Farm Shop with plenty to do to keep the whole family entertained this season.
https://www.cardiffcastle.com/events/ice-walk/,The Ice Rink & Ice Walk,15/11/2022,08/01/2023,"Cardiff Castle, Castle Street, Cardiff CF10 3RB","Cardiff's Winter Wonderland Ice Rink & Ice Walk, the capital’s biggest Winter attraction, is back at Cardiff Castle from 15th Nov – 8th Jan!"
https://www.eventbrite.co.uk/e/christmas-wreath-making-workshop-at-st-donats-castle-tickets-421309707677,Christmas Wreath Making Workshop at St Donat's Castle,15/12/2022,15/12/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF",Let Wild Meadow Floral guide you as you create your statement wreath to proudly hang on your front door this Christmas.
https://cadw.gov.wales/christmas,Christmas,17/12/2022,23/12/2022,Caerphilly Castle,"Grab your gloves, layer up and get ready for the festive season, with a trip to Caerphilly Castle this December! We kick off the festive period with a face painter - on Saturday 17 and Sunday 18; Between 17 and 23 you can write and post your letter to Santa from here; And come and decorate your own Christmas card and take home an origami star for the Christmas tree!  "
https://www.visitthevale.com/events/halloween-at-fonmon-night-scare-trail,HALLOWEEN AT FONMON - NIGHT SCARE TRAIL | Visit The Vale,19/10/2022,31/10/2022,Fonmon Castle,What's in Store for you this Spooky Season ? Well to put it plainly - we have an awful lot of things going on for you this year. We have designed this event to be bigger and better than what we had last year due to popular demand.
https://cadw.gov.wales/lets-discover-medicine-north-pole,Let’s Discover… Medicine in the North Pole,19/11/2022,20/11/2022,Chepstow Castle,"Meet Dr Frost, Chief medical officer of the North Pole, who will explain all the medical problems that father Christmas has to face when delivering Christmas cheer. From altitude sickness (it’s a long way up in that sleigh), to the effects of too many mince pies and biscuits. Learn how to keep warm like Santa as well! This is a drop-in event with no need to book."
https://cadw.gov.wales/brother-thomas-cellarer-1,Brother Thomas the Cellarer,19/11/2022,,Tintern Abbey,"Step back in time with Brother Thomas and learn what life was like as a monk in Tintern Abbey. Our sympathetic brother will give you inside information about the monks’ rituals and responsibilities. As the cellarer of Tintern Abbey, Brother Thomas (a Cistercian monk) will be able to tell you all there is to know (and perhaps some things you shouldn’t know!) about the workings of the abbey, his fellow monks, the lay brothers and other ‘less religious’ people!"
https://cadw.gov.wales/christmas-starts-here,Christmas starts here!,19/11/2022,20/11/2022,Raglan Castle,Put on your Christmas jumper and get into the festive spirit with us! Seasonal refreshments and a visit from the man himself! Christmas starts here!
https://www.visitthevale.com/events/cosmeston-halloween-festival,Cosmeston Halloween Festival | Visit The Vale,22/10/2022,31/10/2022,Cosmeston Lakes Country Park & Medieval Village,"Back for Halloween 2022, Cosmeston Country Park will come to life once again after dark!"
https://www.visitthevale.com/events/celf-coast-cymru-10-turner-house,Celf Coast Cymru 10 - Turner House | Visit The Vale,25/09/2022,10/01/2023,Turner House,In 2022 the Wales Coast Path celebrates its 10th anniversary. Artist Dan LLewellyn Hall was commissioned to curate the visual arts responding to the coast.
https://www.visitthevale.com/events/art-history-lectures-at-penarth-pavilion,Art History Lectures at Penarth Pavilion  | Visit The Vale,25/10/2022,15/12/2022,Penarth Pier Pavilion,"October, the Canadian Group of Severn. November, Caravaggio and December, Painting Winter"
https://www.eventbrite.co.uk/e/an-evening-of-chopin-and-rachmaninoff-tickets-438884032957,An Evening of Chopin and Rachmaninoff,25/10/2022,25/10/2022,"UWC Atlantic College, Llantwit Major, CF61 1WF","Recital given by Cellist, Thomas Carroll and Pianist, Graham Caskie. Programme to include Chopin and Rachmaninoff Sonatas"
https://www.cardiffcastle.com/events/christmas-festival-nutcracker/,Christmas Festival - The Nutcracker,25/11/2022,27/11/2022,"The Spiegeltent, Cardiff Castle Grounds, Castle Street, Cardiff, CF10 3RB","The Nutcracker, this is the Christmas ballet with a Welsh twist, befitting the unique venue in which it is being performed."
https://cadw.gov.wales/late-night-christmas-shopping-harlech,Late night Christmas Shopping in Harlech,26/11/2022,,Harlech Castle,"Late Night Christmas Shopping in Harlech Christmas Story telling in the Castle 1pm-5pm  Candlelight Parade led by Santa 5.30pm from the Castle.  Carollers, Ardudwy Male voice Choir, Christmas stories and late night Shopping to get you in the Christmas spirit."
https://cadw.gov.wales/reindeer-poo-trail,Reindeer Poo Trail,27/12/2022,,Chepstow Castle,"After another busy Christmas, Santa’s reindeers have been grazing and pooing (!) in Chepstow Castle! Find the poos and discover what each reindeer ate for Christmas, in this fun family trail. We encourage visitors to bring their own pencil, but one may be purchased in the shop otherwise.  "
https://www.visitthevale.com/events/pumpkin-fest,Pumpkin Fest | Visit The Vale,29/10/2022,30/10/2022,Porthkerry Country Park,"A fun free festive weekend for all the family at Porthkerry Country Park, Barry during October Half Term"
https://www.visitthevale.com/events/halloween-at-penarth-pavilion,Halloween at Penarth Pavilion  | Visit The Vale,29/10/2022,31/10/2022,Penarth Pier Pavilion,Pumpkin carving and Fancy Dress Children’s Disco at Penarth Pier Pavilion
https://cadw.gov.wales/batty-baths-trail,Batty Baths Trail,29/10/2022,,Caerleon Roman Fortress and Baths,"Get into the spirit of Halloween at Caerleon Fortress Baths and seek out our hidden bats! Find out where our hidden bats are hanging out in the Baths! Complete our spooky trail around the 2000 year old remains to earn a treat. Why not wear your favourite creepy costume? £1 to take part in the activity, in addition to normal admission prices."
https://cadw.gov.wales/tretowers-spooky-trail,Tretower’s Spooky Trail,29/10/2022,,Tretower Court and Castle,"The Trail of Spookiness reappears at Tretower – Hhhhaaapppy Halloween! It’s that time once again: time for the bats, the rats and the creepy-crawlies to emerge from their hidey-holes and join the ghosts in making a Trail of Spookiness around Tretower Court. Bring your youngster to test the trail, and join us for some Halloween fun! How to visit •    purchase your admission tickets on arrival (or book online)* •    check event times and prices below"
https://cadw.gov.wales/spooky-halloween-0,Spooky Halloween,29/10/2022,30/10/2022,Beaumaris Castle,"Come along to Beaumaris Castle this Halloween and take on the spooky trail around the castle! Look out for gruesome figures lurking inside. And finding the witch's kitchen could prove rewarding if you can complete the trail, claim your freedom and escape with a prize. Visit the resident witches, who are friendlier than they look, in the creepy craft room. Step inside and make some scary crafts to take home."
https://cadw.gov.wales/raglan-castle-school-magic,The Raglan Castle School of Magic,29/10/2022,,Raglan Castle,"Calling all witches and wizards to your end-of-term party!  It’s graduation time, so be sure to wear your best magical costume.  Enjoy owl prowls and lots of spellbinding fun!"
https://cadw.gov.wales/spooky-halloween-1,Spooky Halloween,29/10/2022,31/10/2022,Caerphilly Castle,"Hunt around our haunted halls at Caerphilly Castle this school holiday! Join us in a range of craft activities, and pick a spooky character with our face painter on Saturday and Sunday.  Normal admission, but advisable to book online to guarantee entry.  Booked tickets are non-refundable."
https://cadw.gov.wales/cochs-creepy-halloween,Coch’s Creepy Halloween,29/10/2022,06/11/2022,Castell Coch,"Come and join our Halloween quest - daily throughout half-term! 29 October - 6 November. Collect your treat by completing our Halloween quest. 29 October. Spooky, spectacular face paints. 29 - 30 October and 5 - 6 November. Creepy craft activities for adults and kids alike. Normal admission, but tickets must be booked in advance."
https://cadw.gov.wales/halloween-evenings,Halloween Evenings,29/10/2022,,Caerphilly Castle,"For a night without the kids, travel with us around the perimeter of Caerphilly Castle, and be intrigued by ghostly and historical tales!  These tours are happening on the 29, 30 and 31 October this year. Join us at 7pm or 9:30pm, for a 2-hour traipse around the moat.  Please be aware, these tours will take place in all weather conditions and are an outdoor walk across various external paths; the ground will be uneven in places. It is essential appropriate clothing and footwear are worn."
https://www.eventbrite.co.uk/e/halloween-classic-spooktacular-at-st-donats-castle-casper-1995-tickets-416548105597,Halloween Classic Spooktacular at St Donat's Castle | Casper (1995),29/10/2022,29/10/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF",Join us for some classic spooktacular films on the big screen in the medieval St Donat's Castle ... a wicked day out this Halloween!
https://www.eventbrite.co.uk/e/halloween-classic-spooktacular-at-st-donats-castle-hocus-pocus-1993-tickets-416559289047,Halloween Classic Spooktacular at St Donat's Castle | Hocus Pocus (1993),29/10/2022,29/10/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF",Join us for some classic spooktacular films on the big screen in the medieval St Donat's Castle ... a wicked day out this Halloween!
https://www.eventbrite.co.uk/e/halloween-classic-spooktacular-at-st-donats-castle-hocus-pocus-1993-tickets-416569910817,Halloween Classic Spooktacular at St Donat's Castle | Hocus Pocus (1993),29/10/2022,29/10/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF",Join us for some classic spooktacular films on the big screen in the medieval St Donat's Castle ... a wicked day out this Halloween!
https://www.eventbrite.co.uk/e/halloween-classic-spooktacular-at-st-donats-castle-beetlejuice-1988-tickets-416578105327,Halloween Classic Spooktacular at St Donat's Castle | Beetlejuice (1988),29/10/2022,29/10/2022,"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF",Join us for some classic spooktacular films on the big screen in the medieval St Donat's Castle ... a wicked day out this Halloween!
https://cadw.gov.wales/halloween-spooktacular-childrens-trail,Halloween Spooktacular Children's Trail,30/10/2022,31/10/2022,Denbigh Castle,This Halloween sees the return of the Denbigh Castle Spooktacular Halloween Trail! Visit the haunted castle for a terrifying trail and creepy Halloween crafts. Everyone’s invited to come in fancy dress for a frightful family fun-filled day.
https://cadw.gov.wales/halloween-spooktacular,Halloween Spooktacular,30/10/2022,,Laugharne Castle,Join us for some Halloween fun and games! A fun time for families.
https://cadw.gov.wales/halloween-trail,Halloween Trail,30/10/2022,,Chepstow Castle,"Visit Chepstow Castle, and take part in our Halloween-themed trail which is perfect for families with young children. Please bring your own pencil, or a pencil may be purchased in the castle shop. How to visit •    purchase your admission tickets on arrival (or book online)* •    check event times and prices below"
https://cadw.gov.wales/spooky-halloween-week,Spooky Halloween Week,30/10/2022,,Blaenavon Ironworks,"Join us at the Ironworks for a spooky trail, and storytelling by our Welsh Witch about Welsh myths and legends! Listen to spooky Welsh legends, tales, and ghost stories. And throughout the week there will be a free Halloween trail for children in our spookily-themed cottages, with a chocolate prize."
https://cadw.gov.wales/haunted-history-and-folklore-evening-tour,Haunted History and Folklore Evening Tour,30/10/2022,,Blaenavon Ironworks,"Join us for an evening tour of Blaenavon Ironworks - with ghost stories, spooky tales, historic folklore and ancient legends of Blaenavon and Blaenau Gwent.  Hear tales of Welsh myths and the legends of the Black Mountains, and local ghost stories of the Ironworks. Followed by hot drink refreshment and a Welsh cake. Book your place on this event by telephoning Blaenavon Ironworks on 01495 792615. Tour is suitable for adults only.  "
https://www.visitthevale.com/events/festive-wreathmaking-at-penarth-pavilion,Festive Wreathmaking at Penarth Pavilion | Visit The Vale,30/11/2022,07/12/2022,Penarth Pier Pavilion,Begin the build-up to Christmas making your own festive wreath in the iconic surroundings of Penarth Pier Pavilion.
https://cadw.gov.wales/late-night-christmas-shopping,Late Night Christmas Shopping,30/11/2022,,Chepstow Castle,"Chepstow Castle and Tourist Information Centre are offering some Christmas gift inspiration in our late night shopping event! We have a number of Welsh-produced festive gift ideas and stocking fillers for the whole family: from books to blankets, pottery to Penderyn, jewellery to jigsaws, and much more!"
https://www.visitthevale.com/events/amelia-trust-freaky-festivities,Amelia Trust Farm Freaky Festivities | Visit The Vale,31/10/2022,31/10/2022,Five Mile Lane,"Join us for freaky festivities on Monday 31st October. With three different spooktacular options, there's wicked fun for everyone!"
https://cadw.gov.wales/spooky-halloween,Spooky Halloween,31/10/2022,,Plas Mawr,Join in the Halloween fun at Plas Mawr! Do you dare to attempt our trail and join in the ghoulish fun?
https://cadw.gov.wales/evening-ghost-stories-0,An Evening of Ghost Stories,31/10/2022,,Tretower Court and Castle,An evening of local ghost stories and Welsh folklore by candlelight.  Join us in the great hall for a night not to be missed! Complimentary hot drink on arrival. Please wear warm clothing.  Booking required. Tickets must be booked in advance - online or at the site. Suitable for adults only.
https://www.cardiffcastle.com/events/lost-boys/,Halloween Cinema: The Lost Boys (15),31/10/2022,,Cardiff Castle Castle Street Cardiff CF10 3RB,Underground Cinema returns to Cardiff Castle's atmospheric Undercroft with a frightfully fantastic selection of your favourite freaky films.
https://www.cardiffcastle.com/events/exorcist/,Halloween Cinema: The Exorcist (Directors Cut) (18),31/10/2022,,Cardiff Castle Castle Street Cardiff CF10 3RB,Underground Cinema returns to Cardiff Castle's atmospheric Undercroft with a frightfully fantastic selection of your favourite freaky films.
https://www.cardiffcastle.com/events/addams-family/,Halloween Cinema: The Addams Family (1991) (PG),31/10/2022,,Cardiff Castle Castle Street Cardiff CF10 3RB,Underground Cinema returns to Cardiff Castle's atmospheric Undercroft with a frightfully fantastic selection of your favourite freaky films.
https://www.cardiffcastle.com/events/nightmare-before-christmas/,Halloween Cinema: The Nightmare Before Christmas (PG),31/10/2022,,Cardiff Castle Castle Street Cardiff CF10 3RB,Underground Cinema returns to Cardiff Castle's atmospheric Undercroft with a frightfully fantastic selection of your favourite freaky films.
https://www.cardiffcastle.com/events/hocus-pocus/,Halloween Cinema: Hocus Pocus (PG),31/10/2022,,Cardiff Castle Castle Street Cardiff CF10 3RB,Underground Cinema returns to Cardiff Castle's atmospheric Undercroft with a frightfully fantastic selection of your favourite freaky films.
https://www.cardiffcastle.com/events/paranorman/,Halloween Cinema: Paranorman (PG),31/10/2022,,Cardiff Castle Castle Street Cardiff CF10 3RB,Underground Cinema returns to Cardiff Castle's atmospheric Undercroft with a frightfully fantastic selection of your favourite freaky films.
